Section,Key,Value
Essentials,Product Collection,Intel® RAID Controllers
Essentials,Code Name,Products formerly Coffee Canyon
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'14
Essentials,Expected Discontinuance,Q2'22
Essentials,EOL Announce,"Tuesday, April 6, 2021"
Essentials,Last Order,"Wednesday, April 6, 2022"
Essentials,Last Receipt Attributes,"Friday, July 22, 2022"
Essentials,Target Market,Mainstream
Essentials,Board Form Factor,Storage Connector Module
Essentials,Data Transfer Rate,12 Gb/s
Essentials,Supported Devices,SAS/SATA
Essentials,Supported Operating Systems,"Windows, Linux, VMware"
Essentials,Compatible Cache Backup Options,AXXRMFBU5
Essentials,RAID Level Supported,"0, 1, 10, 5, 50, 6, 60"
Essentials,JBOD Mode,No
Essentials,# of Ports Internal,4
Essentials,# of Devices Supported,128
Essentials,Cache Memory,1GB
Essentials,PCIe Host Interface,PCIe x8 Gen3
Essentials,IO Processor Model,LSI3108
Essentials,Keying,SIOM Connector
Essentials,Connector Orientation,Side
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Intel® RAID Extended Warranty
Essentials,Additional Features,Support for optional Maintenance Free Backup Unit and Premium Feature upgrade keys.
Essentials,Included Items,"(1) Intel® Integrated RAID Module RMS3CC040, (4) standoffs, and (4) standoff locking pins"
Supplemental Information,Description,"12Gb/s (SAS 3.0) 4 internal port SAS/SATA mezzanine card built with PCIe 3.0 dual core RAID-On-Chip (ROC), RAID levels 0/1/10/5/50/6/60, and support for optional Maintenance Free Backup Unit and Premium Feature upgrade keys."
