Section,Key,Value
Essentials,Product Collection,Intel Atom® Processor C Series
Essentials,Code Name,Products formerly Rangeley
Essentials,Vertical Segment,Embedded
Essentials,Processor Number,C2308
Essentials,Lithography,22 nm
Essentials,Recommended Customer Price,$60.00
CPU Specifications,Total Cores,2
CPU Specifications,Total Threads,2
CPU Specifications,Processor Base Frequency,1.25 GHz
CPU Specifications,Cache,1 MB
CPU Specifications,TDP,6 W
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q2'14
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,End of Servicing Updates Date,"Wednesday, June 30, 2021"
Supplemental Information,Embedded Options Available,Yes
Supplemental Information,Use Conditions,Communications
Memory Specifications,Max Memory Size (dependent on memory type),16 GB
Memory Specifications,Memory Types,DDR 1333
Memory Specifications,Max # of Memory Channels,1
Memory Specifications,Physical Address Extensions,36-bit
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,PCI Express Revision,2
Expansion Options,Max # of PCI Express Lanes,4
I/O Specifications,# of USB Ports,4
I/O Specifications,USB Revision,2
I/O Specifications,Total # of SATA Ports,1
I/O Specifications,Integrated LAN,4x1 or 4x2.5 GbE
I/O Specifications,UART,2 Interfaces
Package Specifications,Sockets Supported,FCBGA1283
Package Specifications,TJUNCTION,100C
Package Specifications,Max Operating Temperature,85 °C
Package Specifications,Minimum Operating Temperature,-40 °C
Package Specifications,Package Size,34 mm x 28 mm
Advanced Technologies,Intel® Turbo Boost Technology‡,No
Advanced Technologies,Intel® Hyper-Threading Technology‡,No
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Integrated Intel® QuickAssist Technology,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
