Section,Key,Value
Essentials,Product Collection,Intel® RAID Controllers
Essentials,Code Name,Products formerly Arizona Dunes
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'17
Essentials,Expected Discontinuance,2023
Essentials,EOL Announce,"Friday, May 5, 2023"
Essentials,Last Order,"Friday, June 30, 2023"
Essentials,Last Receipt Attributes,"Friday, April 28, 2023"
Essentials,Target Market,Full-featured
Essentials,Board Form Factor,Mezzanine Module
Essentials,Supported Devices,PCIe/SAS/SATA
Essentials,Supported Operating Systems,"Windows, Linux, VMWare"
Essentials,Compatible Cache Backup Options,AXXRMFBU7
Essentials,RAID Level Supported,"0, 1, 10, 5, 50, 6, 60"
Essentials,JBOD Mode,Yes
Essentials,# of Ports Internal,16
Essentials,# of Ports External,0
Essentials,# of Devices Supported,240
Essentials,Cache Memory,4GB
Essentials,PCIe Host Interface,PCIe x8 Gen3
Essentials,IO Processor Model,SAS3516
Essentials,Keying,SIOM Connector
Essentials,Connector Orientation,Vertical
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Intel® RAID Extended Warranty
Essentials,Additional Features,Support for optional Maintenance Free Backup Unit and Premium Feature upgrade keys.
Essentials,Included Items,"(1) Intel® RAID Module, (4) standoffs, and (4) standoff locking pins"
Supplemental Information,Description,Tri-mode Full-Featured RAID Mezzanine Module with 16 SAS/SATA internal ports or 4 internal NVMe ports
Supplemental Information,Datasheet,View now
