Section,Key,Value
Essentials,Product Collection,4th Generation Intel® Core™ i3 Processors
Essentials,Code Name,Products formerly Haswell
Essentials,Vertical Segment,Desktop
Essentials,Processor Number,i3-4330
Essentials,Lithography,22 nm
CPU Specifications,Total Cores,2
CPU Specifications,Total Threads,4
CPU Specifications,Processor Base Frequency,3.50 GHz
CPU Specifications,Cache,4 MB Intel® Smart Cache
CPU Specifications,Bus Speed,5 GT/s
CPU Specifications,TDP,54 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q3'13
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,End of Servicing Updates Date,"Wednesday, June 30, 2021"
Supplemental Information,Embedded Options Available,Yes
Supplemental Information,Use Conditions,"Embedded Broad Market Commercial Temp, PC/Client/Tablet"
Supplemental Information,Datasheet,View now
Memory Specifications,Max Memory Size (dependent on memory type),32 GB
Memory Specifications,Memory Types,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V"
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Max Memory Bandwidth,25.6 GB/s
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,GPU Name‡,Intel® HD Graphics 4600
GPU Specifications,Graphics Base Frequency,350 MHz
GPU Specifications,Graphics Max Dynamic Frequency,1.15 GHz
GPU Specifications,Graphics Video Max Memory,2 GB
GPU Specifications,Graphics Output,eDP/DP/HDMI/DVI/VGA
GPU Specifications,Max Resolution (HDMI)‡,4096x2304@24Hz
GPU Specifications,Max Resolution (DP)‡,3840x2160@60Hz
GPU Specifications,Max Resolution (eDP - Integrated Flat Panel)‡,3840x2160@60Hz
GPU Specifications,Max Resolution (VGA)‡,1920x1200@60Hz
GPU Specifications,DirectX* Support,11.1/12
GPU Specifications,OpenGL* Support,4.3
GPU Specifications,Intel® Quick Sync Video,Yes
GPU Specifications,Intel® InTru™ 3D Technology,Yes
GPU Specifications,Intel® Clear Video HD Technology,Yes
GPU Specifications,# of Displays Supported‡,3
GPU Specifications,Device ID,0x412
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,Up to 3.0
Expansion Options,PCI Express Configurations‡,"Up to 1x16, 2x8, 1x8+2x4"
Expansion Options,Max # of PCI Express Lanes,16
Package Specifications,Sockets Supported,FCLGA1150
Package Specifications,Max CPU Configuration,1
Package Specifications,Thermal Solution Specification,PCG 2013C
Package Specifications,TCASE,66.8°C
Package Specifications,Package Size,37.5mm x 37.5mm
Advanced Technologies,Intel® Turbo Boost Technology‡,No
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,No
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,No
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Stable IT Platform Program (SIPP),No
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,No
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
