Section,Key,Value
Essentials,Product Collection,Intel® Xeon® Processor E7 Family
Essentials,Code Name,Products formerly Westmere EX
Essentials,Vertical Segment,Server
Essentials,Processor Number,E7-8867L
Essentials,Lithography,32 nm
Essentials,Recommended Customer Price,$4172.00
CPU Specifications,Total Cores,10
CPU Specifications,Total Threads,20
CPU Specifications,Max Turbo Frequency,2.53 GHz
CPU Specifications,Processor Base Frequency,2.13 GHz
CPU Specifications,Cache,30 MB Intel® Smart Cache
CPU Specifications,Bus Speed,6.4 GT/s
CPU Specifications,TDP,105 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q2'11
Supplemental Information,Expected Discontinuance,Q3'2015
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),4 TB
Memory Specifications,Memory Types,DDR3 800/978/1066/1333 (Max Speed 1066 MHz)
Memory Specifications,Max # of Memory Channels,4
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,S8S
Package Specifications,Sockets Supported,"FCLGA1567,LGA1567"
Package Specifications,Max CPU Configuration,8
Package Specifications,TCASE,64°C
Package Specifications,Package Size,49.17mm x 56.47mm
Advanced Technologies,Intel® Turbo Boost Technology‡,1.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® SSE4.2"
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
